bar,tempo,meter,beat,clickdb,action 0,action 1,action 2,action 3,comments,,
0,60,12,1,12,,,,,this column is ignored,,
0,,,2,,,,,,,,
0,,,3,,,,,,,,
0,,,4,,,,,,,,
0,,,5,,,,,,,,
1,537.6,,1,-60,h,,,,in semi-quavers,,
1,,,2,,,h,,,,,
1,,,3,,,,h,,,,
1,,,4,,,,,h,,,
1,,,5,,h,,,,,,
2,160,1,1,,,h,,,,,
3,176,2,1,,,,h,,,,
3,,,2,,,,,h,,,
4,200,,1,,h,,,,,,
4,,,2,,,h,,,,,
5,296,,1,,,,h,,,,
5,,,2,,,,,h,,,
6,368,,1,,h,,,,,,
6,,,2,,,h,,,,,
7,448,,1,,,,h,,,,
7,,,2,,,,,h,,,
8,537.6,3,1,,h,,,,,,
8,,,2,,,h,,,,,
8,,,3,,,,h,,,,
9,176,2,1,,,,,h,,,
9,,,2,,h,,,,,,
10,200,1,1,,,h,,,,,
11,296,2,1,,,,h,,,,
11,,,2,,,,,h,,,
12,368,2,1,,h,,,,,,
12,,,2,,,h,,,,,
13,448,,1,,,,h,,,,
13,,,2,,,,,h,,,
14,537.6,3,1,,h,,,,,,
14,,,2,,,h,,,,,
14,,,3,,,,h,,,,
15,192,2,1,,,,,h,,,
15,,,2,,h,,,,,,
16,208,,1,,,h,,,,,
16,,,2,,,,h,,,,
17,224,,1,,,,,h,,,
17,,,2,,h,,,,,,
18,296,,1,,,h,,,,,
18,,,2,,,,h,,,,
19,368,,1,,,,,h,,,
19,,,2,,h,,,,,,
20,448,3,1,,,h,,,,,
20,,,2,,,,h,,,,
20,,,3,,,,,h,,,
21,537.6,5,1,,h,,,,,,
21,,,2,,,h,,,,,
21,,,3,,,,h,,,,
21,,,4,,,,,h,,,
21,,,5,,h,,,,,,
22,216,2,1,,,h,,,,,
22,,,2,,,,h,,,,
23,224,,1,,,,,h,,,
23,,,2,,h,,,,,,
24,296,,1,,,h,,,,,
24,,,2,,,,h,,,,
25,368,,1,,,,,h,,,
25,,,2,,h,,,,,,
26,448,3,1,,,h,,,,,
26,,,2,,,,h,,,,
26,,,3,,,,,h,,,
27,537.6,,1,,h,,,,,,
27,,,2,,,h,,,,,
27,,,3,,,,h,,,,
28,212,2,1,,,,,h,,,
28,,,2,,h,,,,,,
29,224,,1,,,h,,,,,
29,,,2,,,,h,,,,
30,288,,1,,,,,h,,,
30,,,2,,h,,,,,,
31,352,,1,,,h,,,,,
31,,,2,,,,h,,,,
32,384,,1,,,,,h,,,
32,,,2,,h,,,,,,
33,448,3,1,,,h,,,,,
33,,,2,,,,h,,,,
33,,,3,,,,,h,,,
34,537.6,5,1,,h,,,,,,
34,,,2,,,h,,,,,
34,,,3,,,,h,,,,
34,,,4,,,,,h,,,
34,,,5,,h,,,,,,
35,208,1,1,,,h,,,,,
36,216,,1,,,,h,,,,
37,224,2,1,,,,,h,,,
37,,,2,,h,,,,,,
38,280,,1,,,h,,,,,
38,,,2,,,,h,,,,
39,336,,1,,,,,h,,,
39,,,2,,h,,,,,,
40,384,,1,,,h,,,,,
